"agrupacion_nombre","cargo_nombre","votos_cantidad"
"UNION POR LA PATRIA","DIPUTADO NACIONAL","9298491"
"LA LIBERTAD AVANZA","DIPUTADO NACIONAL","6843049"
"JUNTOS POR EL CAMBIO","DIPUTADO NACIONAL","6412133"
"HACEMOS POR NUESTRO PAIS","DIPUTADO NACIONAL","946840"
