"agrupacion_nombre","cargo_nombre","votos_cantidad"
"ACUERDO CIVICO Y SOCIAL","DIPUTADO NACIONAL","5705105"
"FRENTE PARA LA VICTORIA","DIPUTADO NACIONAL","5544069"
"PROPUESTA REPUBLICANA","DIPUTADO NACIONAL","3675747"
"PERONISMO FEDERAL","DIPUTADO NACIONAL","1560298"
"MOVIMIENTO PROYECTO SUR","DIPUTADO NACIONAL","448711"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","189261"
