ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2007,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 1058788
2007,DIPUTADO PROVINCIAL,FRENTE COALIZON CIVICA, 384853
2007,DIPUTADO PROVINCIAL,UNION PRO, 275467
2007,DIPUTADO PROVINCIAL,CONCERTACION UNA, 166370
2007,DIPUTADO PROVINCIAL,PARTIDO UNIDAD FEDERALISTA, 68458
2007,DIPUTADO PROVINCIAL,UNION DE CENTRO DEMOCRATICO, 64605
2007,DIPUTADO PROVINCIAL,PARTIDO SOCIALISTA AUTENTICO, 48073
2007,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 160069
2007,DIPUTADO PROVINCIAL,FRENTE COALIZON CIVICA, 51976
2007,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 30869
2007,DIPUTADO PROVINCIAL,UNION PRO, 20670
2007,DIPUTADO PROVINCIAL,UNION DE CENTRO DEMOCRATICO, 9636
2007,DIPUTADO PROVINCIAL,SOCIEDAD JUSTA, 8967
2007,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 259555
2007,DIPUTADO PROVINCIAL,FRENTE COALIZON CIVICA, 117207
2007,DIPUTADO PROVINCIAL,CONCERTACION UNA, 78143
2007,DIPUTADO PROVINCIAL,UNION PRO, 51594
2007,DIPUTADO PROVINCIAL,UNION DE CENTRO DEMOCRATICO, 18676
2007,DIPUTADO PROVINCIAL,PARTIDO SOCIALISTA AUTENTICO, 9831
2007,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 68914
2007,DIPUTADO PROVINCIAL,FRENTE COALIZON CIVICA, 37031
2007,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 17324
2007,DIPUTADO PROVINCIAL,UNION PRO, 13950
2007,DIPUTADO PROVINCIAL,SOCIEDAD JUSTA, 3579
