"agrupacion_nombre","cargo_nombre","votos_cantidad"
"CAMBIEMOS","DIPUTADO NACIONAL","8102381"
"UNIDOS POR UNA NUEVA ALTERNATIVA","DIPUTADO NACIONAL","4115414"
"COMPROMISO FEDERAL","DIPUTADO NACIONAL","275047"
"FRENTE PARA LA VICTORIA","DIPUTADO NACIONAL","8765438"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","982953"
"PROGRESISTAS","DIPUTADO NACIONAL","803610"
