ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2021,DIPUTADO PROVINCIAL,JUNTOS, 188288
2021,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 141447
2021,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 31954
2021,DIPUTADO PROVINCIAL,AVANZA LIBERTAD, 28472
2021,DIPUTADO PROVINCIAL,VAMOS CON VOS, 18127
2021,DIPUTADO PROVINCIAL,JUNTOS, 210028
2021,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 140060
2021,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 20982
2021,DIPUTADO PROVINCIAL,VAMOS CON VOS, 17276
2021,DIPUTADO PROVINCIAL,PARTIDO UNION CELESTE Y BLANCO, 15278
2021,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 1481960
2021,DIPUTADO PROVINCIAL,JUNTOS, 1048570
2021,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 249860
2021,DIPUTADO PROVINCIAL,AVANZA LIBERTAD, 226337
2021,DIPUTADO PROVINCIAL,VAMOS CON VOS, 136495
2021,DIPUTADO PROVINCIAL,PARTIDO UNION CELESTE Y BLANCO, 101406
2021,DIPUTADO PROVINCIAL,JUNTOS, 217395
2021,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 120279
2021,DIPUTADO PROVINCIAL,AVANZA LIBERTAD, 39301
2021,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 23919
2021,DIPUTADO PROVINCIAL,VAMOS CON VOS, 15659
