agrupacion_nombre,cargo_nombre,votos_cantidad
"FRENTE PARA LA VICTORIA","DIPUTADO NACIONAL","6869153"
"PROPUESTA REPUBLICANA","DIPUTADO NACIONAL","1282503"
"PERONISMO FEDERAL","DIPUTADO NACIONAL","1395014"
"UNION CIVICA RADICAL","DIPUTADO NACIONAL","2034653"
"AFIRMACION PARA UNA REPUBLICA IGUALITARIA","DIPUTADO NACIONAL","1380330"
