"agrupacion_nombre","cargo_nombre","votos_cantidad"
"PROPUESTA REPUBLICANA","DIPUTADO NACIONAL","1424685"
"FRENTE AMPLIO PROGRESISTA","DIPUTADO NACIONAL","2780984"
"COMPROMISO FEDERAL","DIPUTADO NACIONAL","1218949"
"FRENTE PARA LA VICTORIA","DIPUTADO NACIONAL","10793689"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","590114"
"COALICION CIVICA - (ARI)","DIPUTADO NACIONAL","617747"
"UNION PARA EL DESARROLLO SOCIAL","DIPUTADO NACIONAL","2774548"
