ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2019,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 1817088
2019,DIPUTADO PROVINCIAL,JUNTOS POR EL CAMBIO, 1310362
2019,DIPUTADO PROVINCIAL,CONSENSO FEDERAL, 187866
2019,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 125224
2019,DIPUTADO PROVINCIAL,FRENTE NOS, 58232
2019,DIPUTADO PROVINCIAL,JUNTOS POR EL CAMBIO, 189085
2019,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 182459
2019,DIPUTADO PROVINCIAL,CONSENSO FEDERAL, 29817
2019,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 6644
2019,DIPUTADO PROVINCIAL,JUNTOS POR EL CAMBIO, 433398
2019,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 387991
2019,DIPUTADO PROVINCIAL,CONSENSO FEDERAL, 45640
2019,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 23693
2019,DIPUTADO PROVINCIAL,FRENTE NOS, 10827
2019,DIPUTADO PROVINCIAL,JUNTOS POR EL CAMBIO, 103343
2019,DIPUTADO PROVINCIAL,FRENTE DE TODOS, 87570
2019,DIPUTADO PROVINCIAL,CONSENSO FEDERAL, 10890
2019,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 4272
