ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2025,DIPUTADO PROVINCIAL,FUERZA PATRIA, 134811
2025,DIPUTADO PROVINCIAL,"LA LIBERTAD AVANZA", 113389
2025,DIPUTADO PROVINCIAL,ESPACIO ABIERTO PARA EL DESARROLO Y LA INTEGRACION SOCIAL, 91143
2025,DIPUTADO PROVINCIAL,POTENCIA, 10478
2025,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 7152
2025,DIPUTADO PROVINCIAL,UNION Y LIBERTAD, 6387
2025,DIPUTADO PROVINCIAL,FUERZA PATRIA, 1615657
2025,DIPUTADO PROVINCIAL,"LA LIBERTAD AVANZA", 851297
2025,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 169534
2025,DIPUTADO PROVINCIAL,NUEVOS AIRES, 96591
2025,DIPUTADO PROVINCIAL,SOMOS BUENOS AIRES, 84611
2025,DIPUTADO PROVINCIAL,UNION Y LIBERTAD, 39425
2025,DIPUTADO PROVINCIAL,POTENCIA, 24289
2025,DIPUTADO PROVINCIAL,"LA LIBERTAD AVANZA", 150802
2025,DIPUTADO PROVINCIAL,FUERZA PATRIA, 123370
2025,DIPUTADO PROVINCIAL,SOMOS BUENOS AIRES, 41086
2025,DIPUTADO PROVINCIAL,POTENCIA, 12706
2025,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 11200
2025,DIPUTADO PROVINCIAL,UNION Y LIBERTAD, 8401
2025,DIPUTADO PROVINCIAL,FUERZA PATRIA, 172684
2025,DIPUTADO PROVINCIAL,"LA LIBERTAD AVANZA", 142922
2025,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 21690
2025,DIPUTADO PROVINCIAL,SOMOS BUENOS AIRES, 20586
2025,DIPUTADO PROVINCIAL,UNION Y LIBERTAD, 5740
