"agrupacion_nombre","cargo_nombre","votos_cantidad"
"CAMBIEMOS","DIPUTADO NACIONAL","10263329"
"UNIDAD CIUDADANA","DIPUTADO NACIONAL","5577812"
"FRENTE JUSTICIALISTA","DIPUTADO NACIONAL","3935362"
"1PAIS","DIPUTADO NACIONAL","1479268"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","1156160"
"FRENTE PROGRESISTA CIVICO Y SOCIAL","DIPUTADO NACIONAL","347853"
"NUEVA IZQUIERDA","DIPUTADO NACIONAL","211069"
