ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2015,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 1103598
2015,DIPUTADO PROVINCIAL,CAMBIEMOS BUENOS AIRES, 1088921
2015,DIPUTADO PROVINCIAL,UNIDOS POR UNA NUEVA ALTERNATIVA, 729020
2015,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 138018
2015,DIPUTADO PROVINCIAL,PROGRESISTAS, 103786
2015,DIPUTADO PROVINCIAL,CAMBIEMOS BUENOS AIRES, 157650
2015,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 128574
2015,DIPUTADO PROVINCIAL,UNIDOS POR UNA NUEVA ALTERNATIVA, 71051
2015,DIPUTADO PROVINCIAL,PROGRESISTAS, 7906
2015,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 7135
2015,DIPUTADO PROVINCIAL,CAMBIEMOS BUENOS AIRES, 379975
2015,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 257333
2015,DIPUTADO PROVINCIAL,UNIDOS POR UNA NUEVA ALTERNATIVA, 129615
2015,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 26116
2015,DIPUTADO PROVINCIAL,PROGRESISTAS, 25755
2015,DIPUTADO PROVINCIAL,CAMBIEMOS BUENOS AIRES, 78536
2015,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 58345
2015,DIPUTADO PROVINCIAL,UNIDOS POR UNA NUEVA ALTERNATIVA, 31897
2015,DIPUTADO PROVINCIAL,PROGRESISTAS, 8402
2015,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES, 5049
