ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2005,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 85334
2005,DIPUTADO PROVINCIAL,FTE. BONAERENSE AUTONOMISTA AUTENTICO, 49543
2005,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA, 41936
2005,DIPUTADO PROVINCIAL,AFIRMACION PARA UNA REPUBLICA IGUALITARIA, 37005
2005,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 22955
2005,DIPUTADO PROVINCIAL,PROPUESTA REPUBLICANA, 19428
2005,DIPUTADO PROVINCIAL,ENCUENTRO AMPLIO, 6610
2005,DIPUTADO PROVINCIAL,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES, 5747
2005,DIPUTADO PROVINCIAL,CONFEDERACION VECINAL, 4728
2005,DIPUTADO PROVINCIAL,PARTIDO HUMANISTA, 4634
2005,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 141725
2005,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA, 59805
2005,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 44167
2005,DIPUTADO PROVINCIAL,AFIRMACION PARA UNA REPUBLICA IGUALITARIA, 28683
2005,DIPUTADO PROVINCIAL,PROPUESTA REPUBLICANA, 13180
2005,DIPUTADO PROVINCIAL,ENCUENTRO AMPLIO, 9603
2005,DIPUTADO PROVINCIAL,CONFEDERACION VECINAL, 6043
2005,DIPUTADO PROVINCIAL,PARTIDO SOCIALISTA AUTENTICO, 6020
2005,DIPUTADO PROVINCIAL,FRENTE PARA LA VICTORIA, 1069461
2005,DIPUTADO PROVINCIAL,PARTIDO JUSTICIALISTA, 428239
2005,DIPUTADO PROVINCIAL,AFIRMACION PARA UNA REPUBLICA IGUALITARIA, 196800
2005,DIPUTADO PROVINCIAL,PROPUESTA REPUBLICANA, 173607
2005,DIPUTADO PROVINCIAL,PARTIDO UNIDAD FEDERALISTA, 109135
2005,DIPUTADO PROVINCIAL,FRENTE UNION CIVICA RADICAL, 93511
2005,DIPUTADO PROVINCIAL,PARTIDO HUMANISTA, 47761
2005,DIPUTADO PROVINCIAL,CONFEDERACION VECINAL, 44682
2005,DIPUTADO PROVINCIAL,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES, 40438
2005,DIPUTADO PROVINCIAL,PARTIDO OBRERO, 38932
