agrupacion_nombre,cargo_nombre,votos_cantidad
"PARTIDO JUSTICIALISTA","DIPUTADO NACIONAL","6250817"
"MOVIMIENTO FEDERAL PARA RECREAR EL CRESCIEMENTO","DIPUTADO NACIONAL","636303"
"MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA","DIPUTADO NACIONAL","606886"
"UNION CIVICA RADICAL","DIPUTADO NACIONAL","2117075"
"AFIRMACION PARA UNA REPUBLICA IGUALITARIA","DIPUTADO NACIONAL","1536838"
