"agrupacion_nombre","cargo_nombre","votos_cantidad"
"FRENTE DE TODOS","DIPUTADO NACIONAL","11950926"
"CONSENSO FEDERAL","DIPUTADO NACIONAL","1878282"
"JUNTOS POR EL CAMBIO","DIPUTADO NACIONAL","10347402"
"FRENTE NOS","DIPUTADO NACIONAL","156552"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","765442"
