"agrupacion_nombre","cargo_nombre","votos_cantidad"
"FRENTE DE TODOS","DIPUTADO NACIONAL","8041290"
"LA LIBERTAD AVANZA","DIPUTADO NACIONAL","1291999"
"JUNTOS POR EL CAMBIO","DIPUTADO NACIONAL","9945804"
"TERCERA VIA","DIPUTADO NACIONAL","1325494"
"FRENTE DE IZQUIERDA Y DE TRABAJADORES","DIPUTADO NACIONAL","1280240"
